Candidato1,Partido1,Candidato2,Partido2,Votos
Adriano_do_Baldy,PP,Celina_Leao,PP,0.5614457831325301
Adriano_do_Baldy,PP,Jose_Nelto,PP,0.7855421686746988
Adriano_do_Baldy,PP,Paulo_Abi-Ackel,PSDB,0.5855421686746989
Adriano_do_Baldy,PP,Alexandre_Frota,PSDB,0.7614457831325301
Adriano_do_Baldy,PP,Capitao_Derrite,PP,0.8265060240963856
Adriano_do_Baldy,PP,Celio_Silveira,PSDB,0.7710843373493976
Adriano_do_Baldy,PP,Danilo_Forte,PSDB,0.8433734939759037
Adriano_do_Baldy,PP,Domingos_Savio,PSDB,0.8
Adriano_do_Baldy,PP,Iracema_Portella,PP,0.7590361445783134
Adriano_do_Baldy,PP,Julio_Lopes,PP,0.8361445783132531
Adriano_do_Baldy,PP,Mariana_Carvalho,PSDB,0.727710843373494
Adriano_do_Baldy,PP,Miguel_Haddad,PSDB,0.9108433734939759
Adriano_do_Baldy,PP,Professor_Alcides,PP,0.7807228915662651
Adriano_do_Baldy,PP,Ricardo_Izar,PP,0.8987951807228916
Adriano_do_Baldy,PP,Rodrigo_de_Castro,PSDB,0.7783132530120482
Adriano_do_Baldy,PP,Ruy_Carneiro,PSDB,0.7397590361445784
Adriano_do_Baldy,PP,Atila_Lins,PP,0.7903614457831326
Adriano_do_Baldy,PP,Rossoni,PSDB,0.7084337349397591
Adriano_do_Baldy,PP,Bia_Cavassa,PSDB,0.7855421686746988
Adriano_do_Baldy,PP,Mara_Rocha,PSDB,0.7951807228915663
Adriano_do_Baldy,PP,Rose_Modesto,PSDB,0.7951807228915663
Adriano_do_Baldy,PP,Tereza_Nelma,PSDB,0.8626506024096385
Adriano_do_Baldy,PP,Bruna_Furlan,PSDB,0.7759036144578314
Adriano_do_Baldy,PP,Arthur_Lira,PP,0.9493975903614458
Adriano_do_Baldy,PP,Otavio_Leite,PSDB,0.8578313253012049
Adriano_do_Baldy,PP,Roman,PP,0.9036144578313253
Adriano_do_Baldy,PP,Rodrigo_Maia,PSDB,0.9686746987951808
Adriano_do_Baldy,PP,Patrick_Dorneles,PSDB,0.9759036144578314
Aelton_Freitas,PP,Adriano_do_Baldy,PP,0.19921875
Aelton_Freitas,PP,AJ_Albuquerque,PP,0.26171875
