102 9722
Adriano_do_Baldy,PP Mara_Rocha,PSDB 85
Adriano_do_Baldy,PP Rose_Modesto,PSDB 85
Adriano_do_Baldy,PP Tereza_Nelma,PSDB 57
Adriano_do_Baldy,PP Bruna_Furlan,PSDB 93
Adriano_do_Baldy,PP Arthur_Lira,PP 21
Adriano_do_Baldy,PP Otavio_Leite,PSDB 59
Adriano_do_Baldy,PP Roman,PP 40
Adriano_do_Baldy,PP Rodrigo_Maia,PSDB 13
Adriano_do_Baldy,PP Patrick_Dorneles,PSDB 10
Aelton_Freitas,PP Adriano_do_Baldy,PP 205
Aelton_Freitas,PP AJ_Albuquerque,PP 189
Aelton_Freitas,PP Angela_Amin,PP 211
Aelton_Freitas,PP Beto_Pereira,PSDB 175
Aelton_Freitas,PP Cacá_Leão,PP 147
Aelton_Freitas,PP Charlles_Evangelista,PP 162
Aelton_Freitas,PP Christiane_de_Souza_Yared,PP 199
Aelton_Freitas,PP Christino_Aureo,PP 202
Aelton_Freitas,PP Claudio_Cajado,PP 204
Aelton_Freitas,PP Covatti_Filho,PP 214
Aelton_Freitas,PP Cristiano_Vale,PP 177
Aelton_Freitas,PP Da_Vitória,PP 214
Aelton_Freitas,PP Daniel_Trzeciak,PSDB 149
Aelton_Freitas,PP Dimas_Fabiano,PP 198
Aelton_Freitas,PP Dr._Luiz_Ovando,PP 202
Aelton_Freitas,PP Eduardo_Cury,PSDB 177
Aelton_Freitas,PP Eduardo_da_Fonte,PP 185
Aelton_Freitas,PP Eliza_Virgínia,PP 48
Aelton_Freitas,PP Evair_Vieira_de_Melo,PP 197
Aelton_Freitas,PP Fausto_Pinato,PP 185
Aelton_Freitas,PP Fernando_Monteiro,PP 196
Aelton_Freitas,PP Franco_Cartafina,PP 168
Aelton_Freitas,PP Hiran_Gonçalves,PP 159
Aelton_Freitas,PP Jaqueline_Cassol,PP 183
Aelton_Freitas,PP Laercio_Oliveira,PP 184
Aelton_Freitas,PP Lázaro_Botelho,PP 53
