Candidato1,Partido1,Candidato2,Partido2,Votos
Adriano_do_Baldy,PP,Leda_Sadala,PP,0.3204819277108434
Adriano_do_Baldy,PP,Lourival_Gomes,PP,0.5204819277108433
Adriano_do_Baldy,PP,Marcelo_Aro,PP,0.4530120481927711
Adriano_do_Baldy,PP,Marco_Brasil,PP,0.1927710843373494
Adriano_do_Baldy,PP,Neucimar_Fraga,PP,0.43373493975903615
Adriano_do_Baldy,PP,Samuel_Moreira,PSDB,0.727710843373494
Adriano_do_Baldy,PP,Vicentinho_Junior,PP,0.46987951807228917
Adriano_do_Baldy,PP,Vitor_Lippi,PSDB,0.6674698795180722
Adriano_do_Baldy,PP,Guilherme_Mussi,PP,0.491566265060241
Adriano_do_Baldy,PP,Lucas_Redecker,PSDB,0.7325301204819277
Adriano_do_Baldy,PP,Andre_Fufuca,PP,0.35903614457831323
Adriano_do_Baldy,PP,Beto_Rosado,PP,0.7228915662650602
Adriano_do_Baldy,PP,Celina_Leao,PP,0.43855421686746987
Adriano_do_Baldy,PP,Jose_Nelto,PP,0.21445783132530122
Adriano_do_Baldy,PP,Paulo_Abi-Ackel,PSDB,0.41445783132530123
Adriano_do_Baldy,PP,Alexandre_Frota,PSDB,0.2385542168674699
Adriano_do_Baldy,PP,Capitao_Derrite,PP,0.17349397590361446
Adriano_do_Baldy,PP,Celio_Silveira,PSDB,0.2289156626506024
Adriano_do_Baldy,PP,Danilo_Forte,PSDB,0.1566265060240964
Adriano_do_Baldy,PP,Domingos_Savio,PSDB,0.2
Adriano_do_Baldy,PP,Iracema_Portella,PP,0.24096385542168675
Adriano_do_Baldy,PP,Julio_Lopes,PP,0.163855421686747
Adriano_do_Baldy,PP,Mariana_Carvalho,PSDB,0.27228915662650605
Adriano_do_Baldy,PP,Miguel_Haddad,PSDB,0.0891566265060241
Adriano_do_Baldy,PP,Professor_Alcides,PP,0.21927710843373494
Adriano_do_Baldy,PP,Ricardo_Izar,PP,0.10120481927710843
Adriano_do_Baldy,PP,Rodrigo_de_Castro,PSDB,0.2216867469879518
Adriano_do_Baldy,PP,Ruy_Carneiro,PSDB,0.26024096385542167
Adriano_do_Baldy,PP,Atila_Lins,PP,0.20963855421686747
Adriano_do_Baldy,PP,Rossoni,PSDB,0.29156626506024097
Adriano_do_Baldy,PP,Bia_Cavassa,PSDB,0.21445783132530122
Adriano_do_Baldy,PP,Mara_Rocha,PSDB,0.20481927710843373
Adriano_do_Baldy,PP,Rose_Modesto,PSDB,0.20481927710843373
Adriano_do_Baldy,PP,Tereza_Nelma,PSDB,0.13734939759036144
Adriano_do_Baldy,PP,Bruna_Furlan,PSDB,0.22409638554216868
Adriano_do_Baldy,PP,Arthur_Lira,PP,0.05060240963855422
Adriano_do_Baldy,PP,Otavio_Leite,PSDB,0.14216867469879518
Adriano_do_Baldy,PP,Roman,PP,0.0963855421686747
Adriano_do_Baldy,PP,Rodrigo_Maia,PSDB,0.03132530120481928
Adriano_do_Baldy,PP,Patrick_Dorneles,PSDB,0.024096385542168676
Aelton_Freitas,PP,Adriano_do_Baldy,PP,0.80078125
Aelton_Freitas,PP,AJ_Albuquerque,PP,0.73828125
Aelton_Freitas,PP,Angela_Amin,PP,0.82421875
Aelton_Freitas,PP,Beto_Pereira,PSDB,0.68359375
Aelton_Freitas,PP,Caca_Leao,PP,0.57421875
Aelton_Freitas,PP,Charlles_Evangelista,PP,0.6328125
Aelton_Freitas,PP,Christiane_de_Souza_Yared,PP,0.77734375
Aelton_Freitas,PP,Christino_Aureo,PP,0.7890625
Aelton_Freitas,PP,Claudio_Cajado,PP,0.796875
Aelton_Freitas,PP,Covatti_Filho,PP,0.8359375
Aelton_Freitas,PP,Cristiano_Vale,PP,0.69140625
Aelton_Freitas,PP,Da_Vitoria,PP,0.8359375
Aelton_Freitas,PP,Daniel_Trzeciak,PSDB,0.58203125
Aelton_Freitas,PP,Dimas_Fabiano,PP,0.7734375
Aelton_Freitas,PP,Dr._Luiz_Ovando,PP,0.7890625
Aelton_Freitas,PP,Eduardo_Cury,PSDB,0.69140625
Aelton_Freitas,PP,Eduardo_da_Fonte,PP,0.72265625
Aelton_Freitas,PP,Eliza_Virginia,PP,0.1875
Aelton_Freitas,PP,Evair_Vieira_de_Melo,PP,0.76953125
Aelton_Freitas,PP,Fausto_Pinato,PP,0.72265625
Aelton_Freitas,PP,Fernando_Monteiro,PP,0.765625
Aelton_Freitas,PP,Franco_Cartafina,PP,0.65625
Aelton_Freitas,PP,Hiran_Goncalves,PP,0.62109375
Aelton_Freitas,PP,Jaqueline_Cassol,PP,0.71484375
Aelton_Freitas,PP,Laercio_Oliveira,PP,0.71875
Aelton_Freitas,PP,Lazaro_Botelho,PP,0.20703125
Aelton_Freitas,PP,Luiz_Antonio_Correa,PP,0.96875
Aelton_Freitas,PP,Luiz_Carlos,PSDB,0.5859375
Aelton_Freitas,PP,Margarete_Coelho,PP,0.6875
Aelton_Freitas,PP,Mario_Negromonte_Jr.,PP,0.71875
Aelton_Freitas,PP,Marx_Beltrao,PP,0.63671875
Aelton_Freitas,PP,Mauro_Lopes,PP,0.66015625
Aelton_Freitas,PP,Neri_Geller,PP,0.4140625
Aelton_Freitas,PP,Nilson_Pinto,PSDB,0.5703125
Aelton_Freitas,PP,Norma_Ayub,PP,0.69140625
Aelton_Freitas,PP,Osmar_Serraglio,PP,0.8515625
Aelton_Freitas,PP,Pedro_Augusto_Palareti,PP,0.48046875
Aelton_Freitas,PP,Pedro_Cunha_Lima,PSDB,0.26953125
Aelton_Freitas,PP,Pedro_Lupion,PP,0.64453125
Aelton_Freitas,PP,Pedro_Vilela,PSDB,0.59765625
Aelton_Freitas,PP,Pedro_Westphalen,PP,0.79296875
Aelton_Freitas,PP,Pinheirinho,PP,0.484375
Aelton_Freitas,PP,Ricardo_Barros,PP,0.7265625
Aelton_Freitas,PP,Ronaldo_Carletto,PP,0.828125
Aelton_Freitas,PP,Sheridan,PSDB,0.39453125
Aelton_Freitas,PP,Tereza_Cristina,PP,0.76171875
Aelton_Freitas,PP,Vanderlei_Macris,PSDB,0.66015625
Aelton_Freitas,PP,Carlos_Sampaio,PSDB,0.7890625
Aelton_Freitas,PP,Felicio_Laterca,PP,0.84375
Aelton_Freitas,PP,Guilherme_Mussi,PP,0.32421875
Aelton_Freitas,PP,Joice_Hasselmann,PSDB,0.63671875
Aelton_Freitas,PP,Leda_Sadala,PP,0.41796875
Aelton_Freitas,PP,Lourival_Gomes,PP,0.6640625
Aelton_Freitas,PP,Lucas_Redecker,PSDB,0.6484375
Aelton_Freitas,PP,Marcelo_Aro,PP,0.40625
